// Cantrips
// -----------------
// Clairvoyance						AGTT_Shout_Clairvoyance_GM
// Detect Magic (Ritual)			AGTT_Shout_DetectMagic_GM
// Detect Poison and Disease		AGTT_Shout_DetectPoison_GM
// Mental Interference				AGTT_Target_MentalInterference_Psychic	AGTT_Target_MentalInterference_Force
// Project Object					AGTT_Teleportation_ProjectObject
// Psychic Howl						AGTT_Target_PsychicHowl
// Spectral Shield					AGTT_Shout_SpectralShield

// Game Master mode only, probably
new entry "AGTT_Shout_Clairvoyance_GM"
type "SpellData"
data "SpellType" "Shout"
data "Level" "0"
data "SpellSchool" "Mysticism"
data "DisplayName" "Clairvoyance"
data "Description" "Concentrating on a person's name, you see brief glimpses of their location, followed by a strong pull toward their location that fades over time."
data "Icon" "unknown"
data "TargetConditions" "Self()"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_CLAIRVOYANCE),100,85"
data "CastEffect" "VFX_Spells_Cast_Intent_Whitebox_ShoutSelf_Cast_Root_01,Detach:Dummy_BodyFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Whitebox_ShoutSelf_Impact_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "MemoryCost" "1"
data "SpellFlags" "IsSpell;IsConcentration;HasSomaticComponent"

new entry "AGTT_STATUS_CLAIRVOYANCE"
type "StatusData"
data "StatusType" "BOOST"
data "DisplayName" "Calirvoyance"
data "Description" "This creature is getting faint traces of another creature's location"
data "Icon" "unknown"
data "FormatColor" "LightBlue"
data "StatusEffect" "VFX_Script_Stub_Loop_01:Dummy_OverheadFX"
data "AuraRadius" "10"
data "StatusPropertyFlags" "ForGameMaster;DisableCombatlog"

// Game Master mode only, probably
new entry "AGTT_Shout_DetectMagic_GM"
type "SpellData"
data "SpellType" "Shout"
data "Level" "0"
data "SpellSchool" "Mysticism"
data "DisplayName" "Detect Magic"
data "Description" "For the duration of the spell, you know if Magic is being cast in the area, or if there are any magical objects or magical traps."
data "Icon" "unknown"
data "TargetConditions" "Self()"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_DETECTMAGIC),100,85"
data "CastEffect" "VFX_Spells_Cast_Intent_Whitebox_ShoutSelf_Cast_Root_01,Detach:Dummy_BodyFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Whitebox_ShoutSelf_Impact_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "MemoryCost" "1"
data "SpellFlags" "IsSpell;IsConcentration;HasSomaticComponent"

new entry "AGTT_STATUS_DETECTMAGIC"
type "StatusData"
data "StatusType" "BOOST"
data "DisplayName" "Detect Magic"
data "Description" "This creature is seeking out Magic in the area"
data "Icon" "Spell_Divination_DetectEvilAndGood"
data "FormatColor" "LightBlue"
data "StatusEffect" "VFX_Script_Stub_Loop_01:Dummy_OverheadFX"
data "StackId" "AGTT_STATUS_DETECTMAGIC"
data "AuraRadius" "10"
data "AuraStatuses" "TARGET:IF(Tagged('MAGIC')):ApplyStatus(AGTT_STATUS_DETECTED_MAGIC)"
data "StatusPropertyFlags" "ForGameMaster;"

new entry "AGTT_STATUS_DETECTED_MAGIC"
type "StatusData"
data "StatusType" "BOOST"
data "DisplayName" "Magic Detected"
data "Description" "This creature has detected Magic in the vicinity"
data "Icon" "statIcons_Pure"
data "FormatColor" "Purple"
data "StatusEffect" "VFX_Script_Stub_OverlayMaterial_01"
data "StackId" "AGTT_STATUS_DETECTED_MAGIC"
data "StatusPropertyFlags" "ForGameMaster"

// Game Master mode only, probably
new entry "AGTT_Shout_DetectPoison_GM"
type "SpellData"
data "SpellType" "Shout"
data "Level" "0"
data "SpellSchool" "Mysticism"
data "DisplayName" "Detect Poison & Disease"
data "Description" "For the duration of the spell, you know if there are any Poisons, venemous creatures, or disease in the area."
data "Icon" "unknown"
data "TargetConditions" "Self()"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_DETECTPOISON),100,85"
data "CastEffect" "VFX_Spells_Cast_Intent_Whitebox_ShoutSelf_Cast_Root_01,Detach:Dummy_BodyFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Whitebox_ShoutSelf_Impact_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "MemoryCost" "1"
data "SpellFlags" "IsSpell;IsConcentration;HasSomaticComponent"

new entry "AGTT_STATUS_DETECTPOISON"
type "StatusData"
data "StatusType" "BOOST"
data "DisplayName" "Detect Poison & Disease"
data "Description" "This creature is seeking out traces of Poison or Disease in the area"
data "Icon" "Spell_Divination_DetectEvilAndGood"
data "FormatColor" "LightBlue"
data "StatusEffect" "VFX_Script_Stub_Loop_01:Dummy_OverheadFX"
data "StackId" "AGTT_STATUS_DETECTMAGIC"
data "AuraRadius" "10"
data "AuraStatuses" "TARGET:IF(Tagged('DISEASED')):ApplyStatus(AGTT_STATUS_DETECTED_DISEASE);TARGET:IF(Tagged('POISON')):ApplyStatus(AGTT_STATUS_DETECTED_POISON)"
data "StatusPropertyFlags" "ForGameMaster"

new entry "AGTT_STATUS_DETECTED_DISEASE"
type "StatusData"
data "StatusType" "BOOST"
data "DisplayName" "Disease Detected"
data "Description" "This creature has detected Disease in the vicinity"
data "Icon" "statIcons_Pure"
